#TYPE Selected.Microsoft.Windows.Appx.PackageManager.Commands.AppxPackage
"Name","PackageFullName"
"Microsoft.WebMediaExtensions","Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe"
"Microsoft.BingWeather","Microsoft.BingWeather_4.46.32012.0_x64__8wekyb3d8bbwe"
"Microsoft.WebpImageExtension","Microsoft.WebpImageExtension_1.0.42351.0_x64__8wekyb3d8bbwe"
"Microsoft.Microsoft3DViewer","Microsoft.Microsoft3DViewer_7.2107.7012.0_x64__8wekyb3d8bbwe"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_12109.1001.10.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.30704.0_x86__8wekyb3d8bbwe"
"Microsoft.MicrosoftSudoku","Microsoft.MicrosoftSudoku_2.8.10203.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.30704.0_x86__8wekyb3d8bbwe"
"AppUp.IntelGraphicsExperience","AppUp.IntelGraphicsExperience_1.100.3407.0_x64__8j3eq9eme6ctt"
"Microsoft.UI.Xaml.2.6","Microsoft.UI.Xaml.2.6_2.62112.3002.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.6","Microsoft.UI.Xaml.2.6_2.62112.3002.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxGamingOverlay","Microsoft.XboxGamingOverlay_5.721.12013.0_x64__8wekyb3d8bbwe"
"9426MICRO-STARINTERNATION.DragonCenter","9426MICRO-STARINTERNATION.DragonCenter_2.0.121.0_x64__kzh8wxbdkxb8p"
"Microsoft.MicrosoftOfficeHub","Microsoft.MicrosoftOfficeHub_18.2110.13110.0_x64__8wekyb3d8bbwe"
"Microsoft.VP9VideoExtensions","Microsoft.VP9VideoExtensions_1.0.42791.0_x64__8wekyb3d8bbwe"
"Microsoft.RemoteDesktop","Microsoft.RemoteDesktop_10.2.1817.0_x64__8wekyb3d8bbwe"
"Microsoft.HEIFImageExtension","Microsoft.HEIFImageExtension_1.0.43012.0_x64__8wekyb3d8bbwe"
"NortonSecurity","NortonSecurity_1.0.0.0_neutral__cjtsyd8xszapp"
"NVIDIACorp.NVIDIAControlPanel","NVIDIACorp.NVIDIAControlPanel_8.1.962.0_x64__56jybvy8sckqj"
"Microsoft.Getstarted","Microsoft.Getstarted_10.2112.5.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.0","Microsoft.NET.Native.Framework.2.0_2.0.27427.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.0","Microsoft.NET.Native.Framework.2.0_2.0.27427.0_x86__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.19011.0_x64__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.19011.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.0","Microsoft.NET.Native.Runtime.2.0_2.0.25709.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.0","Microsoft.NET.Native.Runtime.2.0_2.0.25709.0_x86__8wekyb3d8bbwe"
"Microsoft.XboxIdentityProvider","Microsoft.XboxIdentityProvider_12.85.31001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxApp","Microsoft.XboxApp_48.86.28002.0_x64__8wekyb3d8bbwe"
"Microsoft.549981C3F5F10","Microsoft.549981C3F5F10_3.2202.10603.0_x64__8wekyb3d8bbwe"
"Microsoft.OneConnect","Microsoft.OneConnect_5.2202.422.0_x64__8wekyb3d8bbwe"
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.17.10271.0_x64__8wekyb3d8bbwe"
"Microsoft.GetHelp","Microsoft.GetHelp_10.2201.421.0_x64__8wekyb3d8bbwe"
"1527c705-839a-4832-9118-54d4Bd6a0c89","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"E2A4F912-2574-4A75-9BB0-0D023378592B","E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.AAD.BrokerPlugin","Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.AccountsControl","Microsoft.AccountsControl_10.0.22000.1_neutral__cw5n1h2txyewy"
"Microsoft.AsyncTextService","Microsoft.AsyncTextService_10.0.22000.1_neutral__8wekyb3d8bbwe"
"Microsoft.BioEnrollment","Microsoft.BioEnrollment_10.0.19586.1000_neutral__cw5n1h2txyewy"
"Microsoft.CredDialogHost","Microsoft.CredDialogHost_10.0.19595.1001_neutral__cw5n1h2txyewy"
"Microsoft.ECApp","Microsoft.ECApp_10.0.22000.1_neutral__8wekyb3d8bbwe"
"Microsoft.LockApp","Microsoft.LockApp_10.0.22000.1_neutral__cw5n1h2txyewy"
"Microsoft.MicrosoftEdgeDevToolsClient","Microsoft.MicrosoftEdgeDevToolsClient_1000.22000.1.0_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.MicrosoftEdge","Microsoft.MicrosoftEdge_44.22000.120.0_neutral__8wekyb3d8bbwe"
"Microsoft.Win32WebViewHost","Microsoft.Win32WebViewHost_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Apprep.ChxApp","Microsoft.Windows.Apprep.ChxApp_1000.22000.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.CallingShellApp","Microsoft.Windows.CallingShellApp_1000.22000.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.CapturePicker","Microsoft.Windows.CapturePicker_10.0.19580.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.CloudExperienceHost","Microsoft.Windows.CloudExperienceHost_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ContentDeliveryManager","Microsoft.Windows.ContentDeliveryManager_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.NarratorQuickStart","Microsoft.Windows.NarratorQuickStart_10.0.22000.1_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.Windows.OOBENetworkCaptivePortal","Microsoft.Windows.OOBENetworkCaptivePortal_10.0.21302.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.OOBENetworkConnectionFlow","Microsoft.Windows.OOBENetworkConnectionFlow_10.0.21302.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.ParentalControls","Microsoft.Windows.ParentalControls_1000.22000.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.PeopleExperienceHost","Microsoft.Windows.PeopleExperienceHost_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.PinningConfirmationDialog","Microsoft.Windows.PinningConfirmationDialog_1000.22000.1.0_neutral__cw5n1h2txyewy"
"Microsoft.Windows.Search","Microsoft.Windows.Search_1.16.0.22000_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ShellExperienceHost","Microsoft.Windows.ShellExperienceHost_10.0.22000.71_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.XGpuEjectDialog","Microsoft.Windows.XGpuEjectDialog_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.XboxGameCallableUI","Microsoft.XboxGameCallableUI_1000.22000.1.0_neutral_neutral_cw5n1h2txyewy"
"MicrosoftWindows.UndockedDevKit","MicrosoftWindows.UndockedDevKit_10.0.22000.1_neutral_neutral_cw5n1h2txyewy"
"Windows.CBSPreview","Windows.CBSPreview_10.0.19580.1000_neutral_neutral_cw5n1h2txyewy"
"Microsoft.BingNews","Microsoft.BingNews_1.0.6.0_x64__8wekyb3d8bbwe"
"Microsoft.SecHealthUI","Microsoft.SecHealthUI_1000.22000.1.0_neutral__8wekyb3d8bbwe"
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_11.2201.12.0_x64__8wekyb3d8bbwe"
"Microsoft.MSPaint","Microsoft.MSPaint_6.2203.1037.0_x64__8wekyb3d8bbwe"
"Microsoft.Messaging","Microsoft.Messaging_4.1901.40451.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCamera","Microsoft.WindowsCamera_2022.2201.4.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAlarms","Microsoft.WindowsAlarms_11.2112.27.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_11.2201.4.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsNotepad","Microsoft.WindowsNotepad_11.2112.32.0_x64__8wekyb3d8bbwe"
"Microsoft.ZuneMusic","Microsoft.ZuneMusic_11.2112.40.0_x64__8wekyb3d8bbwe"
"Microsoft.LanguageExperiencePacken-GB","Microsoft.LanguageExperiencePacken-GB_22000.17.51.0_neutral__8wekyb3d8bbwe"
"Microsoft.PowerShell","Microsoft.PowerShell_7.2.2.0_x64__8wekyb3d8bbwe"
"windows.immersivecontrolpanel","windows.immersivecontrolpanel_10.0.6.1000_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.StartMenuExperienceHost","Microsoft.Windows.StartMenuExperienceHost_10.0.22000.37_neutral_neutral_cw5n1h2txyewy"
"Microsoft.ZuneVideo","Microsoft.ZuneVideo_10.22021.10291.0_x64__8wekyb3d8bbwe"
"MicrosoftWindows.Client.WebExperience","MicrosoftWindows.Client.WebExperience_421.20070.95.0_x64__cw5n1h2txyewy"
"NcsiUwpApp","NcsiUwpApp_1000.22000.1.0_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.Windows.Photos","Microsoft.Windows.Photos_2021.21120.8011.0_x64__8wekyb3d8bbwe"
"A-Volute.Nahimic","A-Volute.Nahimic_1.9.5.0_x64__w2gh52qy24etm"
"Microsoft.WindowsSoundRecorder","Microsoft.WindowsSoundRecorder_10.2103.28.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsMaps","Microsoft.WindowsMaps_10.2104.2.0_x64__8wekyb3d8bbwe"
"Microsoft.PowerAutomateDesktop","Microsoft.PowerAutomateDesktop_1.0.167.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsTerminal","Microsoft.WindowsTerminal_1.11.3471.0_x64__8wekyb3d8bbwe"
"Microsoft.Todos","Microsoft.Todos_0.66.5751.0_x64__8wekyb3d8bbwe"
"Microsoft.MicrosoftSolitaireCollection","Microsoft.MicrosoftSolitaireCollection_4.12.3171.0_x64__8wekyb3d8bbwe"
